Kanji,Kun,On,Arti,Kata 1,Kata 2,Kata 3,URL,Peringkat frekuensi
人,"ひと, -り, -と","ジン, ニン",orang,"人形【にんぎょう】boneka, boneka tali, orang jerami, penjilat","ご主人【ごしゅじん】suami Anda, suaminya","人口【じんこう】populasi, percakapan umum",https://kanjikana.com/id/kanji/人?jlpt=5,1
大,"おお-, おお.きい, -おお.いに","ダイ, タイ",besar,"大事【だいじ】penting, serius, kritis, berharga, masalah serius, ...","大体【だいたい】umumnya, secara keseluruhan, sebagian besar, hampir, sekitar, ...","大分【だいぶ】cukup banyak, sangat, banyak",https://kanjikana.com/id/kanji/大?jlpt=5,6
一,"ひと-, ひと.つ","イチ, イツ","satu, satu radikal (no.1)","一度【いちど】sekali, sekali waktu, pada suatu kesempatan, sementara, untuk sejenak, ...","一生懸命【いっしょうけんめい】sangat keras, dengan upaya maksimal, sekeras mungkin, dengan sekuat tenaga, demi nyawa, ...","一杯【いっぱい】satu cangkir, satu gelas, satu mangkuk, cangkir penuh, segelas, ...",https://kanjikana.com/id/kanji/一?jlpt=5,15
分,"わ.ける, わ.け, わ.かれる, わ.かる, わ.かつ","ブン, フン, ブ","bagian, menit waktu, segmen, berbagi, gelar, nasib seseorang, tugas, mengerti, tahu, tingkat, 1%, peluang, shaku per 100","気分【きぶん】perasaan, suasana hati","十分【じゅうぶん】cukup, banyak, memuaskan, penuh, secara menyeluruh, ...","大分【だいぶ】cukup banyak, sangat, banyak",https://kanjikana.com/id/kanji/分?jlpt=5,4
見,"み.る, み.える, み.せる",ケン,"lihat, harapan, peluang, ide, pendapat, terlihat","見える【みえる】terlihat, melihat, tampak, muncul, datang","見つける【みつける】menemukan, menemukan (misalnya, kesalahan dalam buku), mendeteksi, melihat, menemukan (misalnya sesuatu yang hilang), ...",見つかる【みつかる】ditemukan,https://kanjikana.com/id/kanji/見?jlpt=5,22
出,"で.る, -で, だ.す, -だ.す, い.でる, い.だす","シュツ, スイ","keluar, pergi, memadamkan, menonjol","思い出す【おもいだす】mengingat kembali, mengingat","降り出す【ふりだす】mulai hujan, mulai turun salju","引き出す【ひきだす】menarik keluar, membuang, mengeluarkan, memimpin keluar (mis. kuda dari kandang), memanggil (misalnya ke pengadilan), ...",https://kanjikana.com/id/kanji/出?jlpt=5,11
日,"ひ, -び, -か","ニチ, ジツ","hari, matahari, jepang, penghitung hari","日【ひ】hari, hari-hari, matahari, sinar matahari, siang hari, ...","日記【にっき】buku harian, jurnal","今日【きょう】hari ini, akhir-akhir ini, baru-baru ini, saat ini",https://kanjikana.com/id/kanji/日?jlpt=5,18
行,"い.く, ゆ.く, -ゆ.き, -ゆき, -い.き, -いき, おこな.う, おこ.なう","コウ, ギョウ, アン","pergi, perjalanan, melaksanakan, kelakuan, bertindak, garis, baris, bank","行う【おこなう】melakukan, bersikap, melaksanakan","飛行場【ひこうじょう】lapangan terbang, bandara","急行【きゅうこう】terburu-buru (ke suatu tempat), terburu-buru, mempercepat, kereta ekspres",https://kanjikana.com/id/kanji/行?jlpt=5,20
前,"まえ, -まえ",ゼン,"di depan, sebelum","名前【なまえ】nama, nama depan","前【まえ】di depan, sebelum (misalnya, sebuah bangunan), sebelum, sebelumnya, yang lalu, ...",午前【ごぜん】pagi,https://kanjikana.com/id/kanji/前?jlpt=5,8
時,"とき, -どき",ジ,"waktu, jam","時代【じだい】periode, zaman, umur, waktu-waktu, hari-hari itu, ...","時間【じかん】waktu, jam, periode, kelas, pelajaran","時々【ときどき】kadang-kadang, sesekali, dari waktu ke waktu, sekali-sekali, dengan interval, ...",https://kanjikana.com/id/kanji/時?jlpt=5,23
生,"い.きる, い.かす, い.ける, う.まれる, うま.れる, う.まれ, うまれ, う.む, お.う, は.える, は.やす, き, なま, なま-, な.る, な.す, む.す, -う","セイ, ショウ","kehidupan, asli, kelahiran","生きる【いきる】hidup, ada, mencari nafkah, bertahan hidup, berlaku, ...","生活【せいかつ】kehidupan, hidup, penghidupan, penghidupan seseorang","一生懸命【いっしょうけんめい】sangat keras, dengan upaya maksimal, sekeras mungkin, dengan sekuat tenaga, demi nyawa, ...",https://kanjikana.com/id/kanji/生?jlpt=5,17
本,もと,ホン,"buku, hadir, utama, asal, benar, nyata, penghitung untuk benda-benda silinder panjang","本当【ほんとう】kebenaran, kenyataan, fakta, tepat, benar, ...","本【ほん】buku, volume, naskah, ini, hadiah, ...","本棚【ほんだな】rak buku, lemari buku",https://kanjikana.com/id/kanji/本?jlpt=5,28
中,"なか, うち, あた.る",チュウ,"di, di dalam, tengah, berarti, pusat","途中【とちゅう】dalam perjalanan, di tengah-tengah, pertengahan, setengah jalan",背中【せなか】punggung,"真ん中【まんなか】tengah, pusat, titik tengah, jantung",https://kanjikana.com/id/kanji/中?jlpt=5,29
今,いま,"コン, キン",sekarang,"今度【こんど】kali ini, sekarang, waktu berikutnya, waktu lain, sebentar lagi, ...",今夜【こんや】malam ini,"今【いま】sekarang, masa kini, baru saja, segera, lain, ...",https://kanjikana.com/id/kanji/今?jlpt=5,14
間,"あいだ, ま, あい","カン, ケン","interval, ruang angkasa","間【あいだ】antariksa, celah, interval, jarak, meregangkan, ...","間に合う【まにあう】tepat waktu (untuk), melayani tujuan, cukup baik, cukup, mengelola, ...","間違える【まちがえる】membuat kesalahan, melakukan kesalahan, membingungkan, mengira sesuatu sebagai sesuatu yang lain",https://kanjikana.com/id/kanji/間?jlpt=5,33
年,とし,ネン,"tahun, penghitung tahun","年【とし】tahun, usia, tahun-tahun, sudah tak lagi di puncak, usia tua",今年【ことし】tahun ini,去年【きょねん】tahun lalu,https://kanjikana.com/id/kanji/年?jlpt=5,38
子,"こ, -こ, ね","シ, ス, ツ","anak, tanda tikus, 23.00-01.00, tanda pertama dari zodiak cina","子【こ】anak, remaja, pemuda, orang muda, anak (seseorang), ...","息子【むすこ】anak laki-laki, penis","子供【こども】anak, anak-anak",https://kanjikana.com/id/kanji/子?jlpt=5,9
長,"なが.い, おさ",チョウ,"panjang, pemimpin, unggul, senior","社長【しゃちょう】presiden perusahaan, manajer, direktur","部長【ぶちょう】kepala seksi atau departemen, ketua klub sekolah, kepala tim (sekolah)","校長【こうちょう】kepala sekolah, kepala sekolah wanita",https://kanjikana.com/id/kanji/長?jlpt=5,12
上,"うえ, -うえ, うわ-, かみ, あ.げる, -あ.げる, あ.がる, -あ.がる, あ.がり, -あ.がり, のぼ.る, のぼ.り, のぼ.せる, のぼ.す, たてまつ.る","ジョウ, ショウ, シャン","di atas, atas","以上【いじょう】tidak kurang dari ..., ... dan lebih, ... dan di atas, ... dan ke atas, ... atau lebih, ...","上がる【あがる】naik, muncul, dibesarkan, masuk (terutama dari luar), masuk, ...","申し上げる【もうしあげる】mengatakan, menceritakan, menyatakan, mengungkapkan, menawarkan, ...",https://kanjikana.com/id/kanji/上?jlpt=5,33
入,"い.る, -い.る, -い.り, い.れる, -い.れ, はい.る","ニュウ, ジュ","masuk, masukkan",入院【にゅういん】perawatan di rumah sakit,"入学【にゅうがく】penerimaan (ke sekolah atau universitas), pintu masuk, penerimaan, matrikulasi","入る【はいる】memasuki, masuk, tiba, bergabung dengan (klub, perusahaan, dll.), masuk (universitas, tentara, dll.), ...",https://kanjikana.com/id/kanji/入?jlpt=5,32
後,"のち, うし.ろ, うしろ, あと, おく.れる","ゴ, コウ","di belakang, kembali, nanti","最後【さいご】akhir, kesimpulan, terakhir, terbaru, paling baru, ...","後【あと】di belakang, belakang, setelah, nanti, sisa, ...","後ろ【うしろ】punggung, di belakang, belakang",https://kanjikana.com/id/kanji/後?jlpt=5,52
気,き,"キ, ケ","semangat, pikiran, udara, atmosfer, suasana hati","気【き】semangat, pikiran, jantung, alam, sikap, ...","気持ち【きもち】perasaan, sensasi, suasana hati, keadaan pikiran, kesiapan, ...","気分【きぶん】perasaan, suasana hati",https://kanjikana.com/id/kanji/気?jlpt=5,12
来,"く.る, きた.る, きた.す, き.たす, き.たる, き, こ","ライ, タイ","datang, karena, berikutnya, sebab, menjadi","将来【しょうらい】masa depan, prospek (masa depan), membawa (dari luar negeri, daerah lain, dll.), membawa tentang, menimbulkan, ...","来る【くる】datang, mendekati, tiba, kembali, melakukan ... dan kembali, ...","出来る【できる】dapat, siap menghadapi tugas, siap, harus diselesaikan, dibuat, ...",https://kanjikana.com/id/kanji/来?jlpt=5,25
話,"はな.す, はなし",ワ,"dongeng, bicara","会話【かいわ】percakapan, bicara, obrolan","話【はなし】bicara, pidato, obrolan, percakapan, topik, ...","話す【はなす】berbicara, mengobrol, menceritakan, menjelaskan, menyebutkan, ...",https://kanjikana.com/id/kanji/話?jlpt=5,134
女,"おんな, め","ジョ, ニョ, ニョウ","wanita, perempuan","彼女【かのじょ】dia (untuk perempuan), pacar perempuan","女性【じょせい】wanita, perempuan, jenis kelamin perempuan","女【おんな】perempuan, wanita, seks perempuan, kekasih wanita, pacar wanita, ...",https://kanjikana.com/id/kanji/女?jlpt=5,24
国,くに,コク,negara,"国際【こくさい】internasional, hubungan diplomatik","国【くに】negara, wilayah, pemerintah nasional, pemerintah pusat, kampung halaman, ...",外国【がいこく】negara asing,https://kanjikana.com/id/kanji/国?jlpt=5,99
金,"かね, かな-, -がね","キン, コン, ゴン",emas,お金【おかね】uang,金曜日【きんようび】Jumat,,https://kanjikana.com/id/kanji/金?jlpt=5,53
高,"たか.い, たか, -だか, たか.まる, たか.める",コウ,"tinggi, mahal",高校【こうこう】sekolah menengah atas,高校生【こうこうせい】siswa sekolah menengah atas,高等学校【こうとうがっこう】sekolah menengah atas,https://kanjikana.com/id/kanji/高?jlpt=5,65
下,"した, しも, もと, さ.げる, さ.がる, くだ.る, くだ.り, くだ.す, -くだ.す, くだ.さる, お.ろす, お.りる","カ, ゲ","di bawah, bawah, turun, berikan, rendah","下がる【さがる】turun, jatuh, menjatuhkan, tenggelam, menjadi lebih rendah, ...","下げる【さげる】menggantung, menangguhkan, memakai, menurunkan, mengurangi, ...",下着【したぎ】pakaian dalam,https://kanjikana.com/id/kanji/下?jlpt=5,69
学,まな.ぶ,ガク,"belajar, pembelajaran, ilmu pengetahuan",科学【かがく】ilmu pengetahuan,小学校【しょうがっこう】sekolah dasar,文学【ぶんがく】sastra,https://kanjikana.com/id/kanji/学?jlpt=5,89
先,"さき, ま.ず",セン,"sebelum, ke depan, sebelumnya, masa depan, prioritas","先輩【せんぱい】senior, unggul, tua, lulusan yang lebih tua, leluhur, ...","先【さっき】beberapa saat yang lalu, barusan, beberapa waktu yang lalu","先生【せんせい】guru, instruktur, tuan, gelar atau sebutan untuk guru, master, dokter, pengacara, dll., bentuk sapaan yang akrab atau menggoda, ...",https://kanjikana.com/id/kanji/先?jlpt=5,66
外,"そと, ほか, はず.す, はず.れる, と-","ガイ, ゲ",di luar,"以外【いがい】dengan pengecualian dari, kecuali, tidak termasuk","郊外【こうがい】pinggiran kota, kawasan perumahan di pinggiran kota, sabuk komuter","外【そと】luar, terbuka (udara), tempat lain, di tempat lain, di luar kelompok seseorang (keluarga, perusahaan, dll.)",https://kanjikana.com/id/kanji/外?jlpt=5,81
何,"なに, なん, なに-, なん-",カ,apa,"何【なに】apa, apa-itu, itu, apa itu, benda itu, ...","何時【いつ】kapan, jam berapa, seberapa cepat, zaman normal, hari biasa","何処【どこ】di mana, tempat apa, berapa (lama, jauh), sejauh mana",https://kanjikana.com/id/kanji/何?jlpt=5,2
男,"おとこ, お","ダン, ナン",laki-laki,"男性【だんせい】laki-laki, jenis kelamin maskulin","男【おとこ】pria, laki-laki, teman, bab, kekasih pria, ...","男の子【おとこのこ】anak laki-laki, bayi laki-laki, pemuda",https://kanjikana.com/id/kanji/男?jlpt=5,56
名,"な, -な","メイ, ミョウ","nama, dicatat, terkemuka, reputasi","名前【なまえ】nama, nama depan","有名【ゆうめい】terkenal, ketenaran",,https://kanjikana.com/id/kanji/名?jlpt=5,92
